Number;Chemical name;Chemical Formula;Monoisotopic mass;[M+H]+;[M-H]-;Smile Code;INCHi;Source
3239;Erythromycin-R046;;861.519822;862.527647;860.511997;;;
3240;Erythromycin-R047;;861.556207;862.564032;860.548382;;;
3241;Erythromycin-R048;;862.527647;863.535472;861.519822;;;
3242;Erythromycin-R049;;862.540223;863.548048;861.532398;;;
3243;Erythromycin-R050;;862.540223;863.548048;861.532398;;;
3244;Erythromycin-R051;;863.499087;864.506912;862.491262;;;
3245;Erythromycin-R052;;864.506912;865.514737;863.499087;;;
3246;Erythromycin-R053;;864.50173;865.509555;863.493905;;;
3247;Erythromycin-R054;;933.540952;934.548777;932.533127;;;
3248;Erythromycin-R055;;870.520156;871.527981;869.512331;;;
3249;Erythromycin-R056;;877.514737;878.522562;876.506912;;;
3250;Erythromycin-R057;;877.551122;878.558947;876.543297;;;
3251;Erythromycin-R058;;878.522562;879.530387;877.514737;;;
3252;Erythromycin-R059;;880.529658;881.537483;879.521833;;;
3253;Erythromycin-R060;;880.496645;881.50447;879.48882;;;
3254;Erythromycin-R061;;886.515071;887.522896;885.507246;;;
3255;Erythromycin-R062;;889.562355;890.57018;888.55453;;;
3256;Erythromycin-R063;;895.514069;896.521894;894.506244;;;
3257;Erythromycin-R064;;961.572252;962.580077;960.564427;;;
3258;Erythromycin-R065;;896.524573;897.532398;895.516748;;;
3259;Erythromycin-R066;;896.524573;897.532398;895.516748;;;
3260;Erythromycin-R067;;905.546037;906.553862;904.538212;;;
3261;Erythromycin-R068;;905.55727;906.565095;904.549445;;;
3262;Erythromycin-R069;;975.587902;976.595727;974.580077;;;
3263;Erythromycin-R070;;975.587902;976.595727;974.580077;;;
3264;Erythromycin-R071;;911.508984;912.516809;910.501159;;;
3265;Erythromycin-R072;;911.508984;912.516809;910.501159;;;
3266;Erythromycin-R073;;912.519488;913.527313;911.511663;;;
3267;Erythromycin-R074;;919.540557;920.548382;918.532732;;;
3268;Erythromycin-R075;;925.488249;926.496074;924.480424;;;
3269;Erythromycin-R076;;990.562416;991.570241;989.554591;;;
3270;Erythromycin-R077;;927.503899;928.511724;926.496074;;;
3271;Erythromycin-R078;;927.503899;928.511724;926.496074;;;
3272;Erythromycin-R079;;932.556936;933.564761;931.549111;;;
3273;Erythromycin-R080;;935.535472;936.543297;934.527647;;;
3274;Erythromycin-R081;;937.524634;938.532459;936.516809;;;
3275;Erythromycin-R082;;1009.572252;1010.580077;1008.564427;;;
3276;Erythromycin-R083;;961.572252;962.580077;960.564427;;;
3277;Erythromycin-R084;;975.587902;976.595727;974.580077;;;
3278;Erythromycin-R085;;975.587902;976.595727;974.580077;;;
3279;Erythromycin-R086;;819.461639;820.469464;818.453814;;;
3280;Erythromycin-R087;;981.514464;982.522289;980.506639;;;
3281;Erythromycin-R088;;990.562416;991.570241;989.554591;;;
3282;Erythromycin-R089;;997.509379;998.517204;996.501554;;;
3283;Erythromycin-R090;;1009.572252;1010.580077;1008.564427;;;
3284;Erythromycin-R091;;1038.529403;1039.537228;1037.521578;;;
3285;Erythromycin-R092;;1054.524318;1055.532143;1053.516493;;;
3286;Erythromycin-R093;;1057.566894;1058.574719;1056.559069;;;
3287;Erythromycin-R094;;1067.588965;1068.59679;1066.58114;;;
3288;Erythromycin-R095;;1071.546159;1072.553984;1070.538334;;;
3289;Erythromycin-R096;;1073.561809;1074.569634;1072.553984;;;
3290;Erythromycin-R097;;1087.541074;1088.548899;1086.533249;;;
3291;Erythromycin-R098;;1143.567289;1144.575114;1142.559464;;;
3292;Erythromycin-R099;;1157.546554;1158.554379;1156.538729;;;
3293;Erythromycin-R100;;1159.562204;1160.570029;1158.554379;;;
3294;Erythromycin-R101;;1173.541469;1174.549294;1172.533644;;;
3295;Erythromycin-R102;;1219.619719;1220.627544;1218.611894;;;
3296;Erythromycin-R103;;1229.567684;1230.575509;1228.559859;;;
3297;Erythromycin-R104;;1235.614634;1236.622459;1234.606809;;;
3298;Erythromycin-R105;;1245.562599;1246.570424;1244.554774;;;
3299;Erythromycin-R106;;1305.620114;1306.627939;1304.612289;;;
3300;Erythromycin-R107;;1321.615029;1322.622854;1320.607204;;;
3301;Erythromycin-R108;;1331.562994;1332.570819;1330.555169;;;
3302;Erythromycin-R109;;1335.594294;1336.602119;1334.586469;;;
3303;Erythromycin-R110;;1381.672544;1382.680369;1380.664719;;;
3304;Erythromycin-R111;;1397.667459;1398.675284;1396.659634;;;
3305;Erythromycin-R112;;763.435424;764.443249;762.427599;;;
3306;Erythromycin-R113;;1056.540244;1057.548069;1055.532419;;;
3307;Erythromycin-R114;;911.472244;912.480069;910.464419;;;
